n,coverage,win_rate,expectancy_bps,median_bps,profit_factor,mfe_bps,mae_bps,time_to_mfe_h,time_to_mae_h,failure_rate,family,sequence_code,eligible,status,expect_ci_low,expect_ci_high,expect_se
3,0.014285714285714285,1.0,17.36046298878322,20.30071502660798,,22.645816647361528,-7.1238852828909165,4.666666666666667,1.6666666666666667,0.0,A,PA,False,exploratory,,,
3,0.014285714285714285,0.6666666666666666,2.2663789843681115,6.755947940150353,1.3427294633405171,15.302192960257969,-9.412864041418388,2.6666666666666665,3.0,0.3333333333333333,A,MO-MA-PO-MO,False,exploratory,,,
3,0.014285714285714285,0.6666666666666666,5.358984821269213,13.015121472592506,1.7736781742287735,25.59114726291348,-6.295073895598315,3.0,2.6666666666666665,0.3333333333333333,A,MO,False,exploratory,,,
3,0.014285714285714285,0.6666666666666666,-20.102167654663315,0.20387753908218015,0.03817982241667411,5.906505717080793,-26.236037358606648,3.3333333333333335,3.6666666666666665,0.3333333333333333,A,MA-MO-MA,False,exploratory,,,
3,0.012048192771084338,0.6666666666666666,27.20023572698714,30.875025351851953,13.815629716508594,37.70625885820627,-1.554785733060701,2.6666666666666665,4.0,0.3333333333333333,B,PA-PO,False,exploratory,,,
3,0.014285714285714285,0.6666666666666666,-4.596848445116254,17.627938310034743,0.7374160081780347,14.926776174285473,-17.03846090948742,2.0,2.6666666666666665,0.3333333333333333,A,PO-TO-PO-TO,False,exploratory,,,
3,0.014285714285714285,1.0,21.329016665607664,12.982260754743686,,31.25356240719222,-0.8574114137605725,4.0,2.3333333333333335,0.0,A,PA-PO-PO-PO,False,exploratory,,,
3,0.014285714285714285,1.0,13.954046094203632,13.283728661427011,,22.021316929417612,-6.239502312443167,4.0,2.0,0.0,A,PA-TA-PA-TA,False,exploratory,,,
3,0.014285714285714285,0.6666666666666666,3.64788724268788,1.354027698144038,7.475207368582123,12.718447436472088,-5.817927350293046,2.6666666666666665,2.3333333333333335,0.3333333333333333,A,PO-PO-PO-PO,False,exploratory,,,
3,0.012048192771084338,1.0,15.191352195833565,18.52672153809284,,23.922620603482855,-2.212067944535445,1.3333333333333333,4.0,0.0,B,PO-TO,False,exploratory,,,
3,0.012048192771084338,0.6666666666666666,16.098989598510762,9.248643780969518,25.8296760489474,20.258945617060782,-10.581713651253393,2.6666666666666665,4.333333333333333,0.3333333333333333,B,PO-PA-PO-PO,False,exploratory,,,
3,0.012048192771084338,0.6666666666666666,2.5850809856951305,2.707140491531168,1.8654988521843092,13.612238384115509,-8.319358388278419,2.3333333333333335,3.0,0.3333333333333333,B,RA-RA-RA-RA,False,exploratory,,,
3,0.012048192771084338,0.6666666666666666,9.328756396383008,8.01022423095003,17.217743633107098,19.58654049925239,-3.37790761994788,3.6666666666666665,4.0,0.3333333333333333,B,PA-PA-PO-TO,False,exploratory,,,
3,0.012048192771084338,0.6666666666666666,4.398941060780378,11.362022174090644,2.0185640791813904,13.921733307646802,-6.359038927438365,3.3333333333333335,4.333333333333333,0.3333333333333333,B,MO-MA,False,exploratory,,,
2,0.008032128514056224,1.0,16.6245981849269,16.6245981849269,,21.189648139193626,-7.151790721812987,2.5,5.0,0.0,B,PA-TA-PA-TA,False,exploratory,,,
2,0.008032128514056224,1.0,13.728291975773377,13.728291975773377,,14.721448683932532,-10.689872063932594,2.0,6.0,0.0,B,PA-TA-RA-RA,False,exploratory,,,
2,0.008032128514056224,0.5,4.11911000650471,4.11911000650471,4.0923514658886955,14.564695817585694,-3.0358559203591686,2.5,2.0,0.5,B,RO-MO-RO-RO,False,exploratory,,,
2,0.008032128514056224,1.0,38.62730033175105,38.62730033175105,,39.33848400397058,0.0,1.0,4.0,0.0,B,RA-PA-TA-RA,False,exploratory,,,
2,0.008032128514056224,0.5,11.683098817732846,11.683098817732846,1.8211812583184788,27.17304869343533,-16.598518491465754,4.0,4.5,0.5,B,PO-PO-PA-PA,False,exploratory,,,
